000r|5556544445|5554555445|4444455445|5534554445|5455523445|4454512444|4453525444|4455554444|4444444444|4444444444|
001l|5555654444|5555455544|5444445544|5553455444|5545552344|4445415244|4445352544|4445555444|4444444444|4444444444|
002d|5555455544|5444445544|5553455444|5545552344|4445455244|4445312544|4445555444|4444444444|4444444444|5555654444|
003d|5444445544|5553455444|5545552344|4445455244|4445352544|4445515444|4444444444|4444444444|5555654444|5555455544|
004r|4444455445|5534554445|5455523445|4454552444|4453525444|4455514444|4444444444|4444444444|5556544445|5554555445|
005u|5554555445|4444455445|5534554445|5455523445|4454522444|4453515444|4455554444|4444444444|4444444444|5556544445|
006r|5545554455|4444554454|5345544455|4555234455|4545224444|4535514444|4555544444|4444444444|4444444444|5565444455|
007u|5565444455|5545554455|4444554454|5345544455|4555224455|4545214444|4535554444|4555544444|4444444444|4444444444|
008l|5556544445|5554555445|4444455445|5534554445|5455522445|4454215444|4453555444|4455554444|4444444444|4444444444|
009d|5554555445|4444455445|5534554445|5455522445|4454255444|4453515444|4455554444|4444444444|4444444444|5556544445|
010l|5555455544|5444445544|5553455444|5545552244|4445425544|4445315544|4445555444|4444444444|4444444444|5555654444|
011l|4555545554|4544444554|4555345544|4554555224|4444542554|4444515554|4444555544|4444444444|4444444444|4555565444|
012l|4455554555|4454444455|4455534554|4455455522|4444454255|4444413555|4444455554|4444444444|4444444444|4455556544|
013u|4455556544|4455554555|4454444455|4455534554|4455455522|4444414255|4444453555|4444455554|4444444444|4444444444|
014u|4444444444|4455556544|4455554555|4454444455|4455534554|4455415522|4444454255|4444453555|4444455554|4444444444|
015r|4444444444|4555565444|4555545554|4544444554|4555345544|4554515224|4444542554|4444535554|4444555544|4444444444|
016r|4444444444|5555654444|5555455544|5444445544|5553455444|5545512244|4445425544|4445355544|4445555444|4444444444|
017d|5555654444|5555455544|5444445544|5553455444|5545552244|4445415544|4445325544|4445555444|4444444444|4444444444|
018r|5556544445|5554555445|4444455445|5534554445|5455522445|4454515444|4453255444|4455554444|4444444444|4444444444|
019d|5554555445|4444455445|5534554445|5455522445|4454555444|4453215444|4455554444|4444444444|4444444444|5556544445|
020l|5555455544|5444445544|5553455444|5545552244|4445455544|4445215544|4445555444|4444444444|4444444444|5555654444|
021l|4555545554|4544444554|4555345544|4554555224|4444545554|4444215554|4444555544|4444444444|4444444444|4555565444|
022d|4544444554|4555345544|4554555224|4444545554|4444235554|4444515544|4444444444|4444444444|4555565444|4555545554|
023l|4454444455|4455534554|4455455522|4444454555|4444423555|4444415554|4444444444|4444444444|4455556544|4455554555|
024u|4455554555|4454444455|4455534554|4455455522|4444424555|4444413555|4444455554|4444444444|4444444444|4455556544|
025u|4455556544|4455554555|4454444455|4455534554|4455425522|4444414555|4444453555|4444455554|4444444444|4444444444|
026u|4444444444|4455556544|4455554555|4454444455|4455524554|4455415522|4444454555|4444453555|4444455554|4444444444|
027r|4444444444|4555565444|4555545554|4544444554|4555245544|4554515224|4444545554|4444535554|4444555544|4444444444|
